alpha,k_min,axis,value,dataset,variant,n_events,accuracy,f1_pos,recall_pos,specificity,macro_f1,macro_recall,auc,user_macro_f1_pos_at_5,user_macro_recall_pos_at_5,user_macro_macro_f1_at_5,user_macro_macro_recall_at_5,pooled_accuracy_at_5,pooled_f1_pos_at_5,pooled_recall_pos_at_5,pooled_specificity_at_5,pooled_macro_f1_at_5,pooled_macro_recall_at_5,pooled_auc_at_5,n_users_at_5,user_macro_f1_pos_at_10,user_macro_recall_pos_at_10,user_macro_macro_f1_at_10,user_macro_macro_recall_at_10,pooled_accuracy_at_10,pooled_f1_pos_at_10,pooled_recall_pos_at_10,pooled_specificity_at_10,pooled_macro_f1_at_10,pooled_macro_recall_at_10,pooled_auc_at_10,n_users_at_10,user_macro_f1_pos_at_20,user_macro_recall_pos_at_20,user_macro_macro_f1_at_20,user_macro_macro_recall_at_20,pooled_accuracy_at_20,pooled_f1_pos_at_20,pooled_recall_pos_at_20,pooled_specificity_at_20,pooled_macro_f1_at_20,pooled_macro_recall_at_20,pooled_auc_at_20,n_users_at_20,user_macro_f1_pos_at_50,user_macro_recall_pos_at_50,user_macro_macro_f1_at_50,user_macro_macro_recall_at_50,pooled_accuracy_at_50,pooled_f1_pos_at_50,pooled_recall_pos_at_50,pooled_specificity_at_50,pooled_macro_f1_at_50,pooled_macro_recall_at_50,pooled_auc_at_50,n_users_at_50
0.2,4,baseline,,ces,baseline_a020_k4,35289,0.8204539658250446,0.7044776119402986,0.7512185417288372,0.8480345538120145,0.7877673175090805,0.7996265477704259,0.8752991732185246,0.24031892326823204,0.33402457757296466,0.3019914417379856,0.32615207373271893,0.49953917050691243,0.44078269824922756,0.7753623188405797,0.4054388133498146,0.49395265020885065,0.5904005660951972,0.7049721431002669,217,0.24534437874347156,0.36205980066445176,0.39721628242958074,0.42550479881875236,0.6334883720930232,0.49422336328626437,0.7684630738522954,0.5924802910855064,0.6034209449545838,0.6804716824689009,0.7682512476562945,215,0.24543955876430676,0.34611291291963564,0.4472808866083578,0.47608407191445673,0.7133333333333334,0.5318818040435459,0.7253446447507953,0.709855695425238,0.6626464613903384,0.7176001700880166,0.7958172152905999,210.0,0.2919533534754659,0.3587720593926229,0.5177317613765695,0.5332599398643774,0.7759162303664922,0.5923809523809525,0.7055353901996371,0.7970323985842636,0.7189341585009454,0.7512838943919503,0.8300233024330684,191.0
0.05,4,alpha,0.05,ces,alpha_005,35289,0.8045283232735413,0.6933949684416393,0.7758877946881528,0.815937549532414,0.7749628752357947,0.7959126721102834,0.8679810977883158,0.2709677419354839,0.3821812596006144,0.291485626508668,0.3194700460829493,0.4626728110599078,0.451552210724365,0.8695652173913043,0.3238566131025958,0.46245180545251674,0.5967109152469501,0.7043272245212376,217,0.26128247061935594,0.39628276116648214,0.3839591600749712,0.41621631598375786,0.5967441860465116,0.4860699466508595,0.8183632734530938,0.5294117647058824,0.5771337104092414,0.6738875190794881,0.7498695755850336,215,0.25671858243648477,0.3778283819355248,0.4366300976293812,0.4712957878014822,0.6873809523809524,0.5251356238698012,0.7698833510074231,0.6634940128953024,0.6460638190333922,0.7166886819513627,0.7787159461748264,210.0,0.2993772277986062,0.40538725808108395,0.5031848688621297,0.5325188910457139,0.7535078534031414,0.5862917398945519,0.7568058076225045,0.7525183773482167,0.7053755492910492,0.7546620924853606,0.8250126740332528,191.0
0.1,4,alpha,0.1,ces,alpha_010,35289,0.811017597551645,0.695660110436727,0.7581816373221923,0.832065303534633,0.7793105853735058,0.7951234704284127,0.8727673903679023,0.2594177455928608,0.3636712749615975,0.29940201887206497,0.325,0.480184331797235,0.44705882352941173,0.8260869565217391,0.3621755253399258,0.47831202046035803,0.5941312409308325,0.7015101843392272,217,0.2497130849726429,0.3679918789221114,0.3906795763016514,0.41730527870062756,0.6125581395348837,0.4829298572315331,0.7764471057884231,0.5627653123104912,0.5865746348262537,0.6696062090494572,0.7549013555666109,215,0.24844934444121422,0.35772866022866023,0.4411590403384671,0.47182998322013137,0.6952380952380952,0.5180722891566265,0.7295864262990456,0.6852932146146761,0.6476155317649428,0.7074398204568608,0.7901167922520089,210.0,0.2947839824206938,0.3689854848917739,0.5155685245938118,0.5331342600067424,0.7672251308900524,0.5834738617200675,0.706442831215971,0.7854614756329975,0.7109769221410045,0.7459521534244842,0.8301042445411481,191.0
0.2,3,k,3.0,ces,k3,35289,0.8168834480999745,0.7039310913589297,0.7641500049736397,0.8378903154224124,0.7856913415442499,0.801020160198026,0.8751972447439256,0.24884426889035183,0.3513824884792627,0.3048935703313584,0.3325652841781874,0.4949308755760369,0.4442190669371196,0.7934782608695652,0.3930778739184178,0.4906906145496408,0.5932780673939915,0.7012190752584152,217,0.2492771248239605,0.37143041712809155,0.39703642574655607,0.4260077519379845,0.6241860465116279,0.48925410872313535,0.7724550898203593,0.5791388720436629,0.595988349431472,0.675796980932011,0.7658872673089238,215,0.2553751513826111,0.36059413470127755,0.4541923184275669,0.48250178337805494,0.7097619047619048,0.5295252798147433,0.7274655355249204,0.7046361682529936,0.6598392451750597,0.716050851888957,0.7949843570467849,210.0,0.3008717480867157,0.37102949532624824,0.522289614779613,0.5374289176005325,0.771413612565445,0.588656491426418,0.7087114337568058,0.790225973318813,0.7151939022056326,0.7494687035378094,0.8310961482303542,191.0
0.2,5,k,5.0,ces,k5,35289,0.8202556037292074,0.7051001906178809,0.7543021983487516,0.8465287684260581,0.7879166199986631,0.8004154833874049,0.8709471970848054,0.23582034964523446,0.32711213517665133,0.30491734328139863,0.3295698924731183,0.5050691244239631,0.44004171011470283,0.7644927536231884,0.41656365883807167,0.4983032662877395,0.5905282062306301,0.6991768330914889,217,0.23382942007393015,0.34843669250646,0.38805134973505623,0.4182927279438908,0.6297674418604651,0.4877734877734878,0.7564870259481038,0.5912674348089751,0.5989486521168967,0.6738772303785394,0.7660313091222043,215,0.2434695103167408,0.3434920133554587,0.4489403731756061,0.4782921930171488,0.7173809523809523,0.5346922775382202,0.7232237539766702,0.7156892846177464,0.6658758019593991,0.7194565192972082,0.7985329582975048,210.0,0.28844602827684085,0.35123720878745485,0.5191263232687308,0.5347929729537845,0.7819895287958115,0.5965116279069768,0.6982758620689655,0.8071059079771304,0.7235786260051383,0.752690885023048,0.8266596189488903,191.0
0.2,4,baseline,,globem,baseline_a020_k4,8225,0.7198784194528876,0.7310924369747899,0.823993685872139,0.6304249547920434,0.719390420466588,0.7272093203320912,0.8082103286800418,0.4179817940624857,0.49370797310278575,0.3786366131466996,0.3992074927953891,0.6334293948126801,0.6659663865546218,0.8244473342002601,0.4813664596273292,0.6299180591776941,0.6529068969137947,0.7325453588457489,694,0.456968401015017,0.5161003114325899,0.436912095619281,0.4539943113321278,0.710126582278481,0.7232628398791541,0.822680412371134,0.6140762463343109,0.7094719515010388,0.7183783293527224,0.8028163074039363,632,,,,,,,,,,,,,,,,,,,,,,,,
0.05,4,alpha,0.05,globem,alpha_005,8225,0.713434650455927,0.7286125503742085,0.8324125230202578,0.6112115732368897,0.7125355089282503,0.7218120481285737,0.7707769571917165,0.4280899775856548,0.498895292987512,0.3862546315356114,0.3981748318924111,0.6328530259365994,0.6682291666666667,0.8342002600780234,0.4725672877846791,0.6286307123655914,0.6533837739313513,0.7247860952488645,694,0.4596502022164326,0.5207429174201326,0.43457443584950495,0.4504005927265421,0.7025316455696202,0.7189835575485799,0.8264604810996563,0.5967741935483871,0.701508585496979,0.7116173373240218,0.7642380405316886,632,,,,,,,,,,,,,,,,,,,,,,,,
0.1,4,alpha,0.1,globem,alpha_010,8225,0.7061398176291793,0.7268617922929145,0.846093133385951,0.5858951175406871,0.7044386582830182,0.7159941254633191,0.785605042072777,0.43598645990576823,0.5095581171950048,0.3824579159233338,0.3897334293948127,0.615850144092219,0.6612452350698856,0.8459037711313394,0.432712215320911,0.6088256125432623,0.6393079932261252,0.7205746351234563,694,0.4671799057925219,0.5370592224231465,0.43200721759929844,0.44818571679726743,0.6949367088607595,0.717219125843356,0.8402061855670103,0.5709677419354838,0.6930307240346976,0.7055869637512471,0.7746920317239573,632,,,,,,,,,,,,,,,,,,,,,,,,
0.2,3,k,3.0,globem,k3,8225,0.7189057750759879,0.7328403050612434,0.8342541436464088,0.6198010849909584,0.7181389826999393,0.7270276143186836,0.8090893623691872,0.42232971959196736,0.499375600384246,0.3812948858698138,0.40174111431316045,0.6380403458213256,0.6713762428048142,0.8342002600780234,0.48188405797101447,0.6342769604017656,0.6580421590245189,0.7362861679414796,694,0.4570799713218249,0.519527953586498,0.43399813324404035,0.4513797845087402,0.7090189873417722,0.7243291860290811,0.8302405498281787,0.6055718475073314,0.708118689178052,0.7179061986677551,0.8041640717114612,632,,,,,,,,,,,,,,,,,,,,,,,,
0.2,5,k,5.0,globem,k5,8225,0.7144072948328267,0.7305883702259433,0.8379373848987108,0.6082730560578662,0.7133733469290369,0.7231052204782885,0.8094447164137353,0.41454073464159913,0.48710374639769455,0.37616474543707973,0.3895052833813641,0.6270893371757925,0.6617877679038161,0.823146944083225,0.47101449275362317,0.623122528781709,0.6470807184184241,0.7336347384546626,694,0.4577482287370548,0.5210700472171991,0.4302132536562034,0.4463362718505124,0.702373417721519,0.7197974080143007,0.8302405498281787,0.5932551319648094,0.701218089868463,0.7117478408964941,0.8029895395592104,632,,,,,,,,,,,,,,,,,,,,,,,,
