k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
5.0,217.0,1085.0,0.23283227269402385,0.293010752688172,0.5164362519201229,0.4047235023041474,0.5148771021992239,0.7210144927536232,0.6316440049443758,0.6763292488489995
10.0,215.0,2150.0,0.22669934424740387,0.29510151347360647,0.6421004060538946,0.4686009597637505,0.5291766586730615,0.6606786427145709,0.7459066100667071,0.7032926263906389
20.0,210.0,4200.0,0.21660773650854945,0.2703372705152891,0.7164746227080372,0.4934059466116631,0.5140186915887851,0.5832449628844114,0.8013509364445809,0.6922979496644961
50.0,191.0,9550.0,0.2571795640825598,0.2839183647124211,0.7732289838902203,0.5285736743013207,0.5645684620376379,0.5921052631578947,0.8483528450857609,0.7202290541218278
