k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
5.0,217.0,1085.0,0.2594177455928608,0.3636712749615975,0.28632872503840245,0.325,0.44705882352941173,0.8260869565217391,0.3621755253399258,0.5941312409308325
10.0,215.0,2150.0,0.2497130849726429,0.3679918789221114,0.4666186784791436,0.41730527870062756,0.4829298572315331,0.7764471057884231,0.5627653123104912,0.6696062090494572
20.0,210.0,4200.0,0.24844934444121422,0.35772866022866023,0.5859313062116026,0.47182998322013137,0.5180722891566265,0.7295864262990456,0.6852932146146761,0.7074398204568608
50.0,191.0,9550.0,0.2947839824206938,0.3689854848917739,0.6972830351217107,0.5331342600067424,0.5834738617200675,0.706442831215971,0.7854614756329975,0.7459521534244842
