k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
5.0,217.0,1085.0,0.2059505522639163,0.22772657450076803,0.6158218125960061,0.42177419354838713,0.49465648854961836,0.5869565217391305,0.7317676143386898,0.6593620680389101
10.0,215.0,2150.0,0.18612752692384055,0.20157253599114064,0.7720801033591733,0.48682631967515705,0.46632124352331605,0.4491017964071856,0.8550636749545178,0.6520827356808517
20.0,210.0,4200.0,0.16764260893983918,0.16319539499437774,0.8519058505502558,0.5075506227723167,0.41943734015345263,0.34782608695652173,0.9100399140313171,0.6289330004939194
50.0,191.0,9550.0,0.17793753232383475,0.16708193367685614,0.8659035243760793,0.5164927290264677,0.471016521982638,0.3815789473684211,0.9283964062074599,0.6549876767879405
