k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
5.0,217.0,1085.0,0.2355314168678224,0.3218125960061444,0.3149769585253456,0.318394777265745,0.3923154701718908,0.7028985507246377,0.3584672435105068,0.5306828971175722
10.0,215.0,2150.0,0.24712776499586206,0.3607105943152455,0.3424178663713547,0.3515642303433001,0.3792016806722689,0.720558882235529,0.36810187992722865,0.5443303810813789
20.0,210.0,4200.0,0.27301523135079353,0.435305834414083,0.3852382284856854,0.41027203144988417,0.38228699551569506,0.7232237539766702,0.4034387473134787,0.5633312506450744
50.0,191.0,9550.0,0.29131517718514593,0.554839870430909,0.3286207514742734,0.4417303109525912,0.38214081282198054,0.7572595281306715,0.33814320718758506,0.5477013676591282
