dataset,method,scope,seed,provenance,n_events,n_users,n_models,f1,recall,specificity,balanced_accuracy,accuracy,post_f1,post_recall,post_specificity,post_balanced_accuracy
ces,olifl,global,42,paper_mechanism_complete_feature_label_specialization_no_public_code,35289,218,1,0.45283969273391267,0.8942604197751914,0.18124900935171975,0.5377547145634556,0.3843690668480263,0.45357486211607545,0.8964,0.17715794949777902,0.5367789747488895
ces,olifl,per_user,42,paper_mechanism_complete_feature_label_specialization_no_public_code,35289,218,218,0.653778223304215,0.6811896946185219,0.839594230464416,0.7603919625414689,0.7944685312703675,0.6550596383224319,0.681,0.8406498859498179,0.760824942974909
