dataset,method,scope,seed,provenance,n_events,n_users,n_models,f1,recall,specificity,balanced_accuracy,accuracy,post_f1,post_recall,post_specificity,post_balanced_accuracy
ces,koil,global,42,author_code_python_port_fifo_compensation,35289,218,1,0.4467769037819936,0.9124639411121058,0.13468854018069423,0.5235762406464001,0.3562583241236646,0.44726872785042165,0.915,0.12901676737764617,0.5220083836888231
ces,koil,per_user,42,author_code_python_port_fifo_compensation,35289,218,218,0.5320498796762196,0.4838356709439968,0.866579489618006,0.6752075802810014,0.7575448440023803,0.5328483245149912,0.4834,0.8675417183560766,0.6754708591780383
ces,olfl,global,42,protocol_aligned_labeled_surrogate_original_task_unlabeled,35289,218,1,0.4533949428828135,0.878444245498856,0.20466793469646535,0.5415560900976607,0.39661084190540963,0.45400257400257404,0.8819,0.19840729921165312,0.5401536496058266
ces,olfl,per_user,42,protocol_aligned_labeled_surrogate_original_task_unlabeled,35289,218,218,0.5947284792971305,0.6329453894359892,0.8025836107148518,0.7177645000754205,0.7542577006999348,0.5957286668548312,0.6332,0.8028732642362639,0.718036632118132
ces,oli2ds,global,42,author_code_core_complete_feature_specialization,35289,218,1,0.4598449366251224,0.864319108723764,0.24516563639245523,0.5547423725581097,0.42154779109637563,0.46100575324952064,0.8654,0.24406738965144664,0.5547336948257233
ces,oli2ds,per_user,42,author_code_core_complete_feature_specialization,35289,218,218,0.6159106826515058,0.7435591365761465,0.7327230939927089,0.7381411152844277,0.7358100257870724,0.6169410008706828,0.744,0.7327223978550562,0.738361198927528
