dataset,variant,seed,n_users_at_5,user_macro_f1_pos_at_5,user_macro_class_macro_f1_at_5,pooled_f1_pos_at_5,pooled_class_macro_f1_at_5,accuracy,precision_pos,recall_pos,specificity,f1_pos,macro_precision,macro_recall,macro_f1,tp,tn,fp,fn,n_events
globem,feature_grouping,42,694,0.48633068020676096,0.3018554732171447,0.6271331058020477,0.42546708576070413,0.5817629179331307,0.5264081931236284,0.9465930018416207,0.2683092224231465,0.6765701391500565,0.6901825138280013,0.6074511121323836,0.5424474362760947,3598.0,1187.0,3237.0,203.0,8225
globem,random_grouping,42,694,0.4898266319015599,0.2968774301267097,0.6295512277730737,0.4199200182186668,0.5257142857142857,0.4933208656158162,0.9715864246250987,0.14263110307414104,0.6543811464516701,0.6735887142693424,0.5571087638496198,0.44940633925333845,3693.0,631.0,3793.0,108.0,8225
globem,clean_gradient,42,694,0.4196948904441699,0.3784427748044462,0.6663185378590077,0.6276930309873816,0.7175683890577508,0.652875465453041,0.8303078137332282,0.6207052441229657,0.7309785755645628,0.731333043844185,0.7255065289280969,0.7168648476031387,3156.0,2746.0,1678.0,645.0,8225
globem,without_personalization,42,694,0.5015735785188236,0.2586295228946526,0.6127470754336427,0.32201430461894043,0.46419452887537993,0.4627855563743552,0.9913180741910024,0.011301989150090416,0.630997236875157,0.532597597464286,0.5013100316705464,0.32659247244245976,3768.0,50.0,4374.0,33.0,8225
globem,without_sharing,42,694,0.46846095787017983,0.3196771648140524,0.6408466561585229,0.5012956770188373,0.6673556231003039,0.5972602739726027,0.8602999210734017,0.5015822784810127,0.705045278137128,0.7020846824408469,0.6809410997772072,0.6618340413545969,3270.0,2219.0,2205.0,531.0,8225
globem,full_final,42,694,0.4179817940624857,0.3786366131466996,0.6659663865546218,0.6299180591776941,0.7198784194528876,0.657016991818754,0.823993685872139,0.6304249547920434,0.7310924369747899,0.7317762807561092,0.7272093203320912,0.719390420466588,3132.0,2789.0,1635.0,669.0,8225
