dataset,purpose,f1_pos,recall_pos,accuracy,auc,event_source_status,paper_row_status
ces,classification,0.7060458652,0.7579826917,0.8201989288,0.8742759251,private_manifested,mixed_run_row
globem,classification,0.7358834244,0.8503025520,0.7179331307,0.7925763000,private_manifested,aligned
