decile,stream_fraction,start_event_1based,end_event_1based,events_in_decile,events_processed,global_cumulative_user_macro_f1,per_user_cumulative_user_macro_f1,global_decile_user_macro_f1,per_user_decile_user_macro_f1,global_cumulative_pooled_f1,per_user_cumulative_pooled_f1,global_decile_pooled_f1,per_user_decile_pooled_f1
1,0.1,1,3529,3529,3529,0.28904934901756646,0.14906270550668682,0.2890493490175674,0.1490627055066868,0.36914811972371453,0.3038397328881469,0.36914811972371453,0.3038397328881469
2,0.2,3530,7058,3529,7058,0.347210810285903,0.1794351363558598,0.3507340910006552,0.17692899199281073,0.40102389078498296,0.38216200959638724,0.4265519360786724,0.4627720504009164
3,0.3,7059,10587,3529,10587,0.3117423517636328,0.15681366476687664,0.3055040703445061,0.1462933071709111,0.39614062326716204,0.3863976083707025,0.3870763382958505,0.3946932006633499
4,0.4,10588,14116,3529,14116,0.3350201996589351,0.16740075463498127,0.34801106346289523,0.1612129482993714,0.4116921178466759,0.42546063651591287,0.4472018232463915,0.5408388520971302
5,0.5,14117,17645,3529,17645,0.34062053008826243,0.1734891014304555,0.3328296215657221,0.15853457389631193,0.41008759038269355,0.4528604118993135,0.4049443757725587,0.5774111675126904
6,0.6,17646,21174,3529,21174,0.35233661474642736,0.17891412073438387,0.3416856662036945,0.1617007801291742,0.4146689497716895,0.4660624758966448,0.43408921006728135,0.5367647058823529
7,0.7,21175,24703,3529,24703,0.37362101506025963,0.18631781682165321,0.4262940042060206,0.1715857917730275,0.4306380982170785,0.4727331658698647,0.5043936731107206,0.5078720162519045
8,0.8,24704,28232,3529,28232,0.3902234650610547,0.20192308076469626,0.43783845355469914,0.22071669997289037,0.44757956672907195,0.4883784522832923,0.547509225092251,0.5728027984258854
9,0.9,28233,31761,3529,31761,0.40159949831716674,0.21706424241102037,0.43668842092445626,0.25087921104696326,0.45807783018867926,0.4997384481255449,0.5364271457085829,0.5642219635234769
10,1.0,31762,35289,3528,35289,0.40427648118623194,0.2285411520225658,0.3347433902732553,0.23939687129180057,0.4593339737431956,0.5060963218857956,0.47131608548931386,0.5502218636546995
