k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
5.0,217.0,1085.0,0.2903298953990198,0.4251152073732719,0.12319508448540707,0.27415514592933954,0.4223500410846343,0.9311594202898551,0.15451174289245984,0.5428355815911574
10.0,215.0,2150.0,0.2775366147120773,0.4355370985603544,0.36614064230343296,0.40083887043189365,0.47342995169082125,0.8802395209580839,0.4414796846573681,0.660859602807726
20.0,210.0,4200.0,0.27163105128764564,0.4121601150172579,0.5293640643596416,0.4707620896884498,0.514480408858603,0.8006362672322376,0.6202026404666872,0.7104194538494624
50.0,191.0,9550.0,0.27277860410020877,0.38241755256474486,0.6369668511949433,0.5096922018798441,0.5541623127830024,0.7218693284936479,0.7349578001633542,0.728413564328501
