dataset,variant,seed,n_users_at_5,user_macro_f1_pos_at_5,user_macro_class_macro_f1_at_5,pooled_f1_pos_at_5,pooled_class_macro_f1_at_5,accuracy,precision_pos,recall_pos,specificity,f1_pos,macro_precision,macro_recall,macro_f1,tp,tn,fp,fn,n_events
ces,feature_grouping,42,217,0.296071977177968,0.21308609465291492,0.4124700239808154,0.30634382591859055,0.4011731701096659,0.3122521606507372,0.9164428528797374,0.19591060389919163,0.4657970574852116,0.5835119724415512,0.5561767283894645,0.39227957323003326,9213.0,4944.0,20292.0,840.0,35289
ces,random_grouping,42,217,0.29693511813327483,0.19600980177017044,0.41190289741581837,0.28545872754329554,0.37853155374195924,0.30585158548545277,0.9306674624490202,0.15858297669995244,0.4603990847132347,0.578761076845727,0.5446252195744863,0.3638892032886367,9356.0,4002.0,21234.0,697.0,35289
ces,clean_gradient,42,217,0.23441591690439617,0.3066491112574062,0.4502617801047121,0.5090815073363066,0.8148148148148148,0.6524791955617198,0.7487317218740674,0.8411396417815818,0.6972995506971144,0.7730673669047601,0.7949356818278246,0.7819511287135983,7527.0,21227.0,4009.0,2526.0,35289
ces,without_personalization,42,217,0.29904908199839075,0.16086423816838566,0.3928035982008996,0.21195203833489956,0.29867664144634304,0.2861217836767959,0.9778175668954541,0.028134411158662227,0.44270305568691026,0.5235539250645501,0.5029759890270582,0.24848286645020357,9830.0,710.0,24526.0,223.0,35289
ces,without_sharing,42,217,0.28987272328286157,0.25604198668714795,0.4383561643835616,0.3918327728105433,0.775029045878319,0.583530899320373,0.7345071123047846,0.7911713425265494,0.6503721319416919,0.7328080827505333,0.762839227415667,0.742265299744947,7384.0,19966.0,5270.0,2669.0,35289
ces,full_final,42,217,0.24031892326823204,0.3019914417379856,0.44078269824922756,0.49395265020885065,0.8204539658250446,0.6632124352331606,0.7512185417288372,0.8480345538120145,0.7044776119402986,0.7792884199427454,0.7996265477704259,0.7877673175090805,7552.0,21401.0,3835.0,2501.0,35289
