dataset,method,expected_method,reproduced_accuracy,paper_accuracy,delta_accuracy,reproduced_recall,paper_recall,delta_recall,reproduced_specificity,paper_specificity,delta_specificity,reproduced_f1,paper_f1,delta_f1,reproduced_post_f1,paper_post_f1,delta_post_f1,reproduced_mean_first_k_f1,paper_mean_first_k_f1,delta_mean_first_k_f1
ces,full_final,full_final,0.8030547762758934,0.803,5.477627589334233e-05,0.7664378792400278,0.773,-0.006562120759972201,0.8176414645744176,0.815,0.002641464574417607,0.6891771019677996,0.691,-0.0018228980322003707,0.6942680935969526,0.696,-0.001731906403047323,0.271311488126051,0.285,-0.013688511873948983
globem,full_final,full_final,0.7062613981762917,0.7,0.006261398176291788,0.8166272033675348,0.862,-0.045372796632465184,0.6114376130198915,0.561,0.05043761301989147,0.7198515769944341,0.727,-0.00714842300556584,0.7232533396382551,0.73,-0.006746660361744872,0.4315980219044765,0.404,0.027598021904476466
