dataset,method,accuracy,accuracy,precision,precision,recall,recall,specificity,specificity,balanced_accuracy,balanced_accuracy,f1,f1,post_f1,post_f1,mean_first_k_f1,mean_first_k_f1
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
ces,full_final,0.8030547762758934,,0.626066466238726,,0.7664378792400278,,0.8176414645744176,,0.7920396719072227,,0.6891771019677996,,0.6942680935969526,,0.271311488126051,
globem,full_final,0.7062613981762917,,0.6435828322620776,,0.8166272033675348,,0.6114376130198915,,0.7140324081937132,,0.7198515769944341,,0.7232533396382551,,0.4315980219044765,
