alpha,k,f1_pos,recall_pos,accuracy,auc
0.05,3,0.7296575739988392,0.8268876611418048,0.716838905775076,0.7646541395074009
0.05,4,0.7286125503742084,0.8324125230202578,0.713434650455927,0.7707769571917165
0.05,5,0.7305863708399366,0.848987108655617,0.7106382978723405,0.7727905607309011
0.1,3,0.7322253000923361,0.8345172323072876,0.7179331306990882,0.7881028084357737
0.1,4,0.7268617922929145,0.846093133385951,0.7061398176291793,0.785605042072777
0.1,5,0.7358834244080146,0.8503025519600105,0.7179331306990882,0.7925762969010249
0.2,3,0.7328403050612433,0.8342541436464088,0.7189057750759879,0.8090893623691872
0.2,4,0.7310924369747899,0.823993685872139,0.7198784194528876,0.8082103286800418
0.2,5,0.7305883702259434,0.8379373848987108,0.7144072948328267,0.8094447164137353
