k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
5.0,217.0,1085.0,0.2954648526077097,0.4155145929339477,0.15138248847926267,0.28344854070660525,0.4268907563025211,0.9202898550724637,0.1841779975278121,0.5522339263001379
10.0,215.0,2150.0,0.2784712622199122,0.41720930232558134,0.39498892580287925,0.40609911406423027,0.47183491355270496,0.844311377245509,0.4730139478471801,0.6586626625463445
20.0,210.0,4200.0,0.2666409368990118,0.38854733890448173,0.543382574209089,0.46596495655678544,0.5085455179630275,0.7730646871686108,0.6330979428922321,0.7030813150304214
50.0,191.0,9550.0,0.2798615921124817,0.39523041828030403,0.6129014148663787,0.5040659165733413,0.4702782809155278,0.647912885662432,0.6677103185407024,0.6578116021015672
