k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
5.0,217.0,1085.0,0.27209787140662717,0.3837173579109063,0.1922427035330261,0.2879800307219662,0.41476274165202115,0.855072463768116,0.22620519159456118,0.5406388276813385
10.0,215.0,2150.0,0.2804978340193259,0.4561166482096714,0.15286452565522335,0.3044905869324474,0.3867069486404834,0.8942115768463074,0.17040630685263797,0.5323089418494726
20.0,210.0,4200.0,0.2858506820803827,0.5412413395612202,0.14661777592892142,0.3439295577450707,0.3659668508287293,0.8780487804878049,0.15443659809640772,0.5162426892921063
50.0,191.0,9550.0,0.30036886857764544,0.6519338773779901,0.12950152025341422,0.39071769881570223,0.3743234260753965,0.8942831215970962,0.13476722025592158,0.5145251709265088
