instance_id,host,port,accelerator,result_directories,result_files,result_size,last_result_time,role,status
westb-25132,connect.westb.seetacloud.com,25132,NVIDIA RTX 4090,37,977,401 MiB,2026-07-23 20:33,primary experiment instance,online
westb-32117,connect.westb.seetacloud.com,32117,none at audit time,43,1087,510 MiB,2026-07-24 23:13,complete retained result volume,online
