k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
5.0,217.0,1085.0,0.2833589349718382,0.4182027649769585,0.10345622119815667,0.2608294930875576,0.4071370640713707,0.9094202898550725,0.1273176761433869,0.5183689829992297
10.0,215.0,2150.0,0.273292091465466,0.437578442229605,0.33334994462901435,0.3854641934293097,0.45397489539748953,0.8662674650698603,0.40751970891449363,0.636893586992177
20.0,210.0,4200.0,0.27229257604686746,0.41689292189292193,0.511378178617785,0.4641355502553534,0.5049900199600799,0.8048780487804879,0.5996315627878416,0.7022548057841647
50.0,191.0,9550.0,0.2871451625694317,0.44035625381540433,0.5407597161950723,0.4905579850052384,0.46070623591284743,0.6955535390199638,0.6027770215083038,0.6491652802641338
