accuracy,auc,dataset,delta_move,evaluated_users_total,f1_pos,final_group_count,label,lambda_m,macro_f1,macro_recall,mature_every,mature_min_buffer,mean_churn,move_rate,moves_total,n_events,recall_pos,seed
0.8164583864660375,0.8742319416081927,ces,0.01,5934,0.7037460549787312,5,lambda10_d010,10,0.7853945301066293,0.8010521234603534,10,5,0.16611791108428528,0.40613414223120997,2410,35289,0.7652442057097384,42
0.8145031029499278,0.8721923847198372,ces,0.0,5928,0.6998899688245003,5,lambda20_d000,20,0.7828285508314766,0.7978896229441875,10,5,0.2016702831066956,0.7552294197031039,4477,35289,0.759275838058291,42
0.8174785343874862,0.8719796431741064,ces,0.001,5935,0.7033027776498226,5,lambda20_d001,20,0.7857507155964842,0.7999999077641708,10,5,0.19884913485869718,0.6803706823925864,4038,35289,0.7593753108524819,42
0.8143330782963529,0.874680544753321,ces,0.005,5941,0.7007125890736342,5,lambda20_d005,20,0.7830679570270607,0.7988779121157155,10,5,0.2054118295611883,0.5874431913819222,3490,35289,0.7629563314433503,42
0.8201989288446825,0.8742759250910734,ces,0.01,5940,0.7060458651841557,5,lambda20_d010,20,0.7882687840402439,0.8014830244213514,10,5,0.19770206336136956,0.48804713804713806,2899,35289,0.7579826917338108,42
0.8156649380826887,0.8746432858142226,ces,0.02,5937,0.7030629479161912,5,lambda20_d020,20,0.784705232459051,0.8007367478753477,10,5,0.18268262801467314,0.36146201785413506,2146,35289,0.7660399880632647,42
0.8171384850803366,0.8735439845156068,ces,0.01,4984,0.7038413878562577,5,lambda40_d010,40,0.7857889839115267,0.8007795488475984,10,5,0.19684899010122783,0.5391252006420546,2687,35289,0.7627573858549687,42
0.8193488055768087,0.8737989870204007,ces,0.01,3250,0.7026169706582077,5,lambda80_d010,80,0.7864441154546609,0.7982254500505381,10,5,0.17269050267205655,0.48123076923076924,1564,35289,0.7491296130508306,42
0.7162310030395137,0.79528446283052,globem,0.01,2214,0.734893230349841,5,lambda05_d010,5,0.7148177896452318,0.7257267407977248,10,5,0.17493845014561293,0.037940379403794036,84,8225,0.8510918179426467,42
0.7048024316109422,0.7879307660542363,globem,0.0,1570,0.7271910112359551,5,lambda10_d000,10,0.7028008036312225,0.7151213954355782,10,5,0.22798473772182112,0.6312101910828025,991,8225,0.8513549066035254,42
0.7133130699088146,0.791183722947183,globem,0.001,1572,0.7303910359021267,5,lambda10_d001,10,0.7121581347734933,0.7222547614052264,10,5,0.19562045102377354,0.49427480916030536,777,8225,0.8403051828466193,42
0.7175683890577508,0.7910079637841569,globem,0.005,1572,0.7349081364829396,5,lambda10_d005,10,0.7163548097531128,0.7266920930201579,10,5,0.1614574650982679,0.17493638676844783,275,8225,0.8471454880294659,42
0.7174468085106382,0.7909814408314553,globem,0.01,1571,0.7348242811501597,5,lambda10_d010,10,0.7162281697189778,0.726579073128657,10,5,0.1605435266139969,0.1349458943348186,212,8225,0.8471454880294659,42
0.7179331306990882,0.7925760887612615,globem,0.02,1570,0.7358834244080146,5,lambda10_d020,10,0.7166242063339316,0.727253445961922,10,5,0.1481029185099104,0.0,0,8225,0.8503025519600105,42
0.7169604863221885,0.791525280298846,globem,0.01,590,0.7344890510948905,5,lambda15_d010,15,0.715721484672673,0.7261269935626533,10,5,0.15818128751902125,0.12203389830508475,72,8225,0.8471454880294659,42
0.7179331306990882,0.7925760887612615,globem,0.01,0,0.7358834244080146,5,lambda20_d010,20,0.7166242063339316,0.727253445961922,10,5,0.1481029185099104,0.0,0,8225,0.8503025519600105,42
