k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
5.0,217.0,1085.0,0.24884426889035183,0.3513824884792627,0.3137480798771121,0.3325652841781874,0.4442190669371196,0.7934782608695652,0.3930778739184178,0.5932780673939915
10.0,215.0,2150.0,0.2492771248239605,0.37143041712809155,0.4805850867478775,0.4260077519379845,0.48925410872313535,0.7724550898203593,0.5791388720436629,0.675796980932011
20.0,210.0,4200.0,0.2553751513826111,0.36059413470127755,0.6044094320548323,0.48250178337805494,0.5295252798147433,0.7274655355249204,0.7046361682529936,0.716050851888957
50.0,191.0,9550.0,0.3008717480867157,0.37102949532624824,0.7038283398748166,0.5374289176005325,0.588656491426418,0.7087114337568058,0.790225973318813,0.7494687035378094
