k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
5.0,217.0,1085.0,0.28774047253309926,0.42204301075268824,0.14669738863287252,0.2843701996927803,0.4349286314021831,0.9384057971014492,0.18912237330037082,0.56376408520091
10.0,215.0,2150.0,0.26762980469582814,0.43267995570321144,0.35299741602067186,0.3928386858619417,0.4697699304440877,0.8762475049900199,0.4366282595512432,0.6564378822706316
20.0,210.0,4200.0,0.2664784298944513,0.41683880933880935,0.5022453054750711,0.45954205740694015,0.506631299734748,0.8101802757158006,0.5980964077371814,0.704138341726491
50.0,191.0,9550.0,0.26963577922746323,0.38737669906026656,0.6188920958319973,0.503134397446132,0.549293376468585,0.7318511796733213,0.7201197930846719,0.7259854863789965
